ipAddress,countryCode,abuseConfidenceScore,lastReportedAt
218.92.0.216,CN,100,2025-05-12T06:15:45+00:00
189.203.141.242,MX,100,2025-05-12T06:15:45+00:00
41.24.16.130,ZA,100,2025-05-12T06:15:45+00:00
81.30.107.160,LT,100,2025-05-12T06:15:45+00:00
162.0.232.89,US,100,2025-05-12T06:15:45+00:00
52.187.9.8,SG,100,2025-05-12T06:15:44+00:00
213.232.87.232,NL,100,2025-05-12T06:15:44+00:00
20.64.106.117,US,100,2025-05-12T06:15:44+00:00
104.249.63.34,US,100,2025-05-12T06:15:44+00:00
8.138.154.105,CN,100,2025-05-12T06:15:44+00:00
20.74.80.133,FR,100,2025-05-12T06:15:43+00:00
192.155.81.124,US,100,2025-05-12T06:15:43+00:00
213.209.143.48,NL,100,2025-05-12T06:15:43+00:00
103.49.239.163,ID,100,2025-05-12T06:15:43+00:00
23.96.58.140,US,100,2025-05-12T06:15:42+00:00
115.190.74.160,CN,100,2025-05-12T06:15:42+00:00
